,ID,scenario,seed,Controller,numPlatCars,numHumanCars,spdLeader,BeaconIntervalPlat,BeaconIntervalHuman,DENMInterval,DecelerationRate,PacketSize,Ctr_Param(Ploegh||Spacing),waitTime,Collision
400,1,1,0,CACC,7,10,100,0.05,0.02,0.05,8,100,3.0,0.007,False
401,1,1,0,CACC,7,10,100,0.05,0.02,0.05,8,100,3.0,0.007,False
402,1,1,0,CACC,7,10,100,0.05,0.02,0.05,8,100,3.0,0.007,False
403,2,1,0,CACC,7,10,100,0.05,0.02,0.05,8,100,3.0,0.004,False
404,3,2,0,CACC,7,10,100,0.05,0.02,0.05,8,100,4.0,0.007,False
405,4,2,0,CACC,7,10,100,0.05,0.02,0.05,8,100,4.0,0.004,False
406,5,3,0,CACC,7,10,100,0.05,0.02,0.05,8,100,5.0,0.007,False
407,6,3,0,CACC,7,10,100,0.05,0.02,0.05,8,100,5.0,0.004,False
408,7,4,0,CACC,7,10,100,0.05,0.02,0.05,8,100,8.0,0.007,False
409,8,4,0,CACC,7,10,100,0.05,0.02,0.05,8,100,8.0,0.004,False
410,9,5,0,CACC,7,10,100,0.05,0.02,0.05,8,500,3.0,0.007,False
411,10,5,0,CACC,7,10,100,0.05,0.02,0.05,8,500,3.0,0.004,False
412,11,6,0,CACC,7,10,100,0.05,0.02,0.05,8,500,4.0,0.007,False
413,12,6,0,CACC,7,10,100,0.05,0.02,0.05,8,500,4.0,0.004,False
414,13,7,0,CACC,7,10,100,0.05,0.02,0.05,8,500,5.0,0.007,False
415,14,7,0,CACC,7,10,100,0.05,0.02,0.05,8,500,5.0,0.004,False
416,15,8,0,CACC,7,10,100,0.05,0.02,0.05,8,500,8.0,0.007,False
417,16,8,0,CACC,7,10,100,0.05,0.02,0.05,8,500,8.0,0.004,False
418,17,9,0,CACC,7,10,100,0.05,0.02,0.05,6,100,3.0,0.007,False
419,18,9,0,CACC,7,10,100,0.05,0.02,0.05,6,100,3.0,0.004,False
420,19,10,0,CACC,7,10,100,0.05,0.02,0.05,6,100,4.0,0.007,False
421,20,10,0,CACC,7,10,100,0.05,0.02,0.05,6,100,4.0,0.004,False
422,21,11,0,CACC,7,10,100,0.05,0.02,0.05,6,100,5.0,0.007,False
423,22,11,0,CACC,7,10,100,0.05,0.02,0.05,6,100,5.0,0.004,False
424,23,12,0,CACC,7,10,100,0.05,0.02,0.05,6,100,8.0,0.007,False
425,24,12,0,CACC,7,10,100,0.05,0.02,0.05,6,100,8.0,0.004,False
426,25,13,0,CACC,7,10,100,0.05,0.02,0.05,6,500,3.0,0.007,False
427,26,13,0,CACC,7,10,100,0.05,0.02,0.05,6,500,3.0,0.004,False
428,27,14,0,CACC,7,10,100,0.05,0.02,0.05,6,500,4.0,0.007,False
429,28,14,0,CACC,7,10,100,0.05,0.02,0.05,6,500,4.0,0.004,False
430,29,15,0,CACC,7,10,100,0.05,0.02,0.05,6,500,5.0,0.007,False
431,30,15,0,CACC,7,10,100,0.05,0.02,0.05,6,500,5.0,0.004,False
432,31,16,0,CACC,7,10,100,0.05,0.02,0.05,6,500,8.0,0.007,False
433,32,16,0,CACC,7,10,100,0.05,0.02,0.05,6,500,8.0,0.004,False
434,33,17,0,CACC,7,10,100,0.05,0.04,0.05,8,100,3.0,0.004,False
435,34,17,0,CACC,7,10,100,0.05,0.04,0.05,8,100,3.0,0.002,False
436,35,18,0,CACC,7,10,100,0.05,0.04,0.05,8,100,4.0,0.004,False
437,36,18,0,CACC,7,10,100,0.05,0.04,0.05,8,100,4.0,0.002,False
438,37,19,0,CACC,7,10,100,0.05,0.04,0.05,8,100,5.0,0.004,False
439,38,19,0,CACC,7,10,100,0.05,0.04,0.05,8,100,5.0,0.002,False
440,39,20,0,CACC,7,10,100,0.05,0.04,0.05,8,100,8.0,0.004,False
441,40,20,0,CACC,7,10,100,0.05,0.04,0.05,8,100,8.0,0.002,False
442,41,21,0,CACC,7,10,100,0.05,0.04,0.05,8,500,3.0,0.004,False
443,42,21,0,CACC,7,10,100,0.05,0.04,0.05,8,500,3.0,0.002,False
444,43,22,0,CACC,7,10,100,0.05,0.04,0.05,8,500,4.0,0.004,False
445,44,22,0,CACC,7,10,100,0.05,0.04,0.05,8,500,4.0,0.002,False
446,45,23,0,CACC,7,10,100,0.05,0.04,0.05,8,500,5.0,0.004,False
447,46,23,0,CACC,7,10,100,0.05,0.04,0.05,8,500,5.0,0.002,False
448,47,24,0,CACC,7,10,100,0.05,0.04,0.05,8,500,8.0,0.004,False
449,48,24,0,CACC,7,10,100,0.05,0.04,0.05,8,500,8.0,0.002,False
450,49,25,0,CACC,7,10,100,0.05,0.04,0.05,6,100,3.0,0.004,False
451,50,25,0,CACC,7,10,100,0.05,0.04,0.05,6,100,3.0,0.002,False
452,51,26,0,CACC,7,10,100,0.05,0.04,0.05,6,100,4.0,0.004,False
453,52,26,0,CACC,7,10,100,0.05,0.04,0.05,6,100,4.0,0.002,False
454,53,27,0,CACC,7,10,100,0.05,0.04,0.05,6,100,5.0,0.004,False
455,54,27,0,CACC,7,10,100,0.05,0.04,0.05,6,100,5.0,0.002,False
456,55,28,0,CACC,7,10,100,0.05,0.04,0.05,6,100,8.0,0.004,False
457,56,28,0,CACC,7,10,100,0.05,0.04,0.05,6,100,8.0,0.002,False
458,57,29,0,CACC,7,10,100,0.05,0.04,0.05,6,500,3.0,0.004,False
