,ID,scenario,seed,Controller,numPlatCars,numHumanCars,spdLeader,BeaconIntervalPlat,BeaconIntervalHuman,DENMInterval,DecelerationRate,PacketSize,Ctr_Param(Ploegh||Spacing),waitTime,Collision
0,1,1,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.2,0.157,False
1,2,1,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.2,0.079,False
2,3,2,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.3,0.157,False
3,4,2,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.3,0.079,False
4,5,3,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.4,0.157,False
5,6,3,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.4,0.079,False
6,7,4,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.5,0.157,False
7,8,4,0,PLOEG,8,300,100,0.1,0.02,0.1,8,500,0.5,0.079,True
8,9,5,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.2,0.157,False
9,10,5,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.2,0.079,False
10,11,6,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.3,0.157,False
11,12,6,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.3,0.079,False
12,13,7,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.4,0.157,False
13,14,7,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.4,0.079,True
14,15,8,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.5,0.157,True
15,16,8,0,PLOEG,10,300,100,0.1,0.02,0.1,8,500,0.5,0.094,False
16,17,1,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.2,0.157,True
17,18,1,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.2,0.094,True
18,19,2,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.3,0.157,True
19,20,2,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.3,0.094,False
20,21,3,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.4,0.157,False
21,22,3,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.4,0.079,True
22,23,4,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.5,0.157,True
23,24,4,0,PLOEG,8,400,100,0.1,0.01,0.1,8,500,0.5,0.094,True
24,25,5,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.2,0.157,False
25,26,5,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.2,0.079,False
26,27,6,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.3,0.157,False
27,28,6,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.3,0.079,False
28,29,7,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.4,0.157,False
29,30,7,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.4,0.079,False
30,31,8,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.5,0.157,True
31,32,8,0,PLOEG,8,400,100,0.1,0.02,0.1,8,500,0.5,0.094,False
32,33,9,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.2,0.157,True
33,34,9,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.2,0.094,True
34,35,10,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.3,0.157,True
35,36,10,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.3,0.094,False
36,37,11,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.4,0.157,True
37,38,11,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.4,0.094,True
38,39,12,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.5,0.157,True
39,40,12,0,PLOEG,8,500,100,0.1,0.01,0.1,8,500,0.5,0.094,False
40,41,13,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.2,0.157,False
41,42,13,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.2,0.079,False
42,43,14,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.3,0.157,False
43,44,14,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.3,0.079,False
44,45,15,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.4,0.157,True
45,46,15,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.4,0.094,False
46,47,16,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.5,0.157,False
47,48,16,0,PLOEG,8,500,100,0.1,0.02,0.1,8,500,0.5,0.079,False
48,49,17,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.2,0.157,True
49,50,17,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.2,0.094,True
50,51,18,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.3,0.157,True
51,52,18,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.3,0.094,True
52,53,19,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.4,0.157,True
53,54,19,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.4,0.094,False
54,55,20,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.5,0.157,True
55,56,20,0,PLOEG,10,400,100,0.1,0.01,0.1,8,500,0.5,0.094,False
56,57,21,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.2,0.157,False
57,58,21,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.2,0.079,False
58,59,22,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.3,0.157,False
59,60,22,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.3,0.079,True
60,61,23,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.4,0.157,False
61,62,23,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.4,0.079,False
62,63,24,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.5,0.157,False
63,64,24,0,PLOEG,10,400,100,0.1,0.02,0.1,8,500,0.5,0.079,False
64,65,25,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.2,0.157,True
65,66,25,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.2,0.094,False
66,67,26,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.3,0.157,True
67,68,26,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.3,0.094,True
68,69,27,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.4,0.157,True
69,70,27,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.4,0.094,True
70,71,28,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.5,0.157,True
71,72,28,0,PLOEG,10,500,100,0.1,0.01,0.1,8,500,0.5,0.094,True
72,73,29,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.2,0.157,True
73,74,29,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.2,0.094,True
74,75,30,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.3,0.157,False
75,76,30,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.3,0.079,False
76,77,31,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.4,0.157,True
77,78,31,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.4,0.094,False
78,79,32,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.5,0.157,False
79,80,32,0,PLOEG,10,500,100,0.1,0.02,0.1,8,500,0.5,0.079,False
80,81,33,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.2,0.157,True
81,82,33,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.2,0.094,True
82,83,34,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.3,0.157,True
83,84,34,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.3,0.094,True
84,85,35,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.4,0.157,True
85,86,35,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.4,0.094,True
86,87,36,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.5,0.157,True
87,88,36,0,PLOEG,12,400,100,0.1,0.01,0.1,8,500,0.5,0.094,True
88,89,37,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.2,0.157,False
89,90,37,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.2,0.079,False
90,91,38,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.3,0.157,True
91,92,38,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.3,0.094,False
92,93,39,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.4,0.157,False
93,94,39,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.4,0.079,True
94,95,40,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.5,0.157,False
95,96,40,0,PLOEG,12,400,100,0.1,0.02,0.1,8,500,0.5,0.079,False
96,97,41,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.2,0.157,True
97,98,41,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.2,0.094,True
98,99,42,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.3,0.157,True
99,100,42,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.3,0.094,True
100,101,43,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.4,0.157,True
101,102,43,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.4,0.094,True
102,103,44,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.5,0.157,True
103,104,44,0,PLOEG,12,500,100,0.1,0.01,0.1,8,500,0.5,0.094,True
104,105,45,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.2,0.157,True
105,106,45,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.2,0.094,True
106,107,46,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.3,0.157,False
107,108,46,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.3,0.079,True
108,109,47,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.4,0.157,False
109,110,47,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.4,0.079,False
110,111,48,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.5,0.157,False
111,112,48,0,PLOEG,12,500,100,0.1,0.02,0.1,8,500,0.5,0.079,False
112,1,1,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.2,0.007,False
113,2,1,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.2,0.001,False
114,3,2,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.3,0.007,False
115,4,2,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.3,0.001,False
116,5,3,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.5,0.007,False
117,6,3,0,PLOEG,7,10,100,0.05,0.02,0.05,8,100,0.5,0.001,False
118,7,4,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.2,0.007,False
119,8,4,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.2,0.001,False
120,9,5,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.3,0.007,False
121,10,5,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.3,0.001,False
122,11,6,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.5,0.007,False
123,12,6,0,PLOEG,7,10,100,0.05,0.02,0.05,8,500,0.5,0.001,False
124,13,7,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.2,0.007,False
125,14,7,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.2,0.001,False
126,15,8,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.3,0.007,False
127,16,8,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.3,0.001,False
128,17,9,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.5,0.007,False
129,18,9,0,PLOEG,7,10,100,0.05,0.02,0.05,6,100,0.5,0.001,False
130,19,10,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.2,0.007,False
131,20,10,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.2,0.001,False
132,21,11,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.3,0.007,False
133,22,11,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.3,0.001,False
134,23,12,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.5,0.007,False
135,24,12,0,PLOEG,7,10,100,0.05,0.02,0.05,6,500,0.5,0.001,False
136,25,13,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.2,0.004,False
137,26,13,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.2,0.001,False
138,27,14,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.3,0.004,False
139,28,14,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.3,0.001,False
140,29,15,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.5,0.004,False
141,30,15,0,PLOEG,7,10,100,0.05,0.04,0.05,8,100,0.5,0.001,False
142,31,16,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.2,0.004,False
143,32,16,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.2,0.001,False
144,33,17,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.3,0.004,False
145,34,17,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.3,0.001,False
146,35,18,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.5,0.004,False
147,36,18,0,PLOEG,7,10,100,0.05,0.04,0.05,8,500,0.5,0.001,False
148,37,19,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.2,0.004,False
149,38,19,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.2,0.001,False
150,39,20,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.3,0.004,False
151,40,20,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.3,0.001,False
152,41,21,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.5,0.004,False
153,42,21,0,PLOEG,7,10,100,0.05,0.04,0.05,6,100,0.5,0.001,False
154,43,22,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.2,0.004,False
155,44,22,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.2,0.001,False
156,45,23,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.3,0.004,False
157,46,23,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.3,0.001,False
158,47,24,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.5,0.004,False
159,48,24,0,PLOEG,7,10,100,0.05,0.04,0.05,6,500,0.5,0.001,False
160,49,25,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.2,0.004,False
161,50,25,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.2,0.001,False
162,51,26,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.3,0.004,False
163,52,26,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.3,0.001,False
164,53,27,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.5,0.004,False
165,54,27,0,PLOEG,7,10,100,0.05,0.03,0.05,8,100,0.5,0.001,False
166,55,28,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.2,0.004,False
167,56,28,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.2,0.001,False
168,57,29,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.3,0.004,False
169,58,29,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.3,0.001,False
170,59,30,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.5,0.004,False
171,60,30,0,PLOEG,7,10,100,0.05,0.03,0.05,8,500,0.5,0.001,False
172,61,31,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.2,0.004,False
173,62,31,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.2,0.001,False
174,63,32,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.3,0.004,False
175,64,32,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.3,0.001,False
176,65,33,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.5,0.004,False
177,66,33,0,PLOEG,7,10,100,0.05,0.03,0.05,6,100,0.5,0.001,False
178,67,34,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.2,0.004,False
179,68,34,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.2,0.001,False
180,69,35,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.3,0.004,False
181,70,35,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.3,0.001,False
182,71,36,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.5,0.004,False
183,72,36,0,PLOEG,7,10,100,0.05,0.03,0.05,6,500,0.5,0.001,False
184,73,37,0,PLOEG,7,10,100,0.1,0.02,0.1,8,100,0.2,0.007,False
185,74,37,0,PLOEG,7,10,100,0.1,0.02,0.1,8,100,0.2,0.001,False
186,75,38,0,PLOEG,7,10,100,0.1,0.02,0.1,8,100,0.3,0.007,False
187,76,38,0,PLOEG,7,10,100,0.1,0.02,0.1,8,100,0.3,0.001,False
